Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,AT concentration,Temperature,pH,Qm
74,3.85,1,478.88,-0.62,7.4,,2,4.70704,25,7,1.44698
74,3.85,1,478.88,-0.62,7.4,,2,7.6687,25,7,1.632055
74,0.287,0,478.88,-0.62,7.4,,2,0.509675,25,7,0.018636
74,0.287,0,478.88,-0.62,7.4,,2,1.0061,25,7,0.029508
74,0.287,0,478.88,-0.62,7.4,,2,1.49669,25,7,0.054725
74,0.287,0,478.88,-0.62,7.4,,2,1.99009,25,7,0.073412
74,0.287,0,478.88,-0.62,7.4,,2,2.86517,25,7,0.334942
74,0.287,0,478.88,-0.62,7.4,,2,3.90581,25,7,0.314741
74,0.287,0,478.88,-0.62,7.4,,2,4.84066,25,7,0.405833
74,0.287,0,478.88,-0.62,7.4,,2,7.72336,25,7,0.704435
74,1.12,1,478.88,-0.62,7.4,,2,0.420383,25,7,0.387686
74,1.12,1,478.88,-0.62,7.4,,2,0.914202,25,7,0.505858
74,1.12,1,478.88,-0.62,7.4,,2,1.38194,25,7,0.603689
74,1.12,1,478.88,-0.62,7.4,,2,1.84948,25,7,0.80793
74,1.12,1,478.88,-0.62,7.4,,2,2.81093,25,7,0.864101
74,1.12,1,478.88,-0.62,7.4,,2,3.82434,25,7,0.906914
74,1.12,1,478.88,-0.62,7.4,,2,4.81156,25,7,1.023998
74,1.12,1,478.88,-0.62,7.4,,2,7.74714,25,7,1.312272
74,0.401,0,419.46,0.87,7.4,3430,2,0.43804,25,7,0.112563
74,0.401,0,419.46,0.87,7.4,3430,2,1.86744,25,7,0.344258
74,0.401,0,419.46,0.87,7.4,3430,2,3.82709,25,7,0.444572
74,0.401,0,419.46,0.87,7.4,3430,2,4.77233,25,7,0.586513
74,0.401,0,419.46,0.87,7.4,3430,2,7.60807,25,7,0.977522
74,3.85,1,419.46,0.87,7.4,3430,2,0.48415,25,7,0.108042
74,3.85,1,419.46,0.87,7.4,3430,2,0.991354,25,7,0.175139
74,3.85,1,419.46,0.87,7.4,3430,2,1.45245,25,7,0.300409
74,3.85,1,419.46,0.87,7.4,3430,2,1.91354,25,7,0.540893
74,3.85,1,419.46,0.87,7.4,3430,2,3.8732,25,7,0.586513
74,3.85,1,419.46,0.87,7.4,3430,2,4.77233,25,7,1.12415
74,3.85,1,419.46,0.87,7.4,3430,2,7.60807,25,7,1.897544
74,0.287,0,419.46,0.87,7.4,3430,2,0.92219,25,7,0.211356
74,0.287,0,419.46,0.87,7.4,3430,2,1.38329,25,7,0.260674
74,0.287,0,419.46,0.87,7.4,3430,2,1.84438,25,7,0.391009
74,0.287,0,419.46,0.87,7.4,3430,2,2.69741,25,7,0.737872
74,0.287,0,419.46,0.87,7.4,3430,2,3.64265,25,7,0.858047
74,0.287,0,419.46,0.87,7.4,3430,2,4.51873,25,7,1.161177
74,0.287,0,419.46,0.87,7.4,3430,2,7.2853,25,7,1.716094
74,1.12,1,419.46,0.87,7.4,3430,2,0.48415,25,7,0.063163
74,1.12,1,419.46,0.87,7.4,3430,2,0.9683,25,7,0.1283
74,1.12,1,419.46,0.87,7.4,3430,2,1.45245,25,7,0.232392
74,1.12,1,419.46,0.87,7.4,3430,2,1.95965,25,7,0.234054
74,1.12,1,419.46,0.87,7.4,3430,2,2.85879,25,7,0.734622
74,1.12,1,419.46,0.87,7.4,3430,2,3.82709,25,7,0.877127
74,1.12,1,419.46,0.87,7.4,3430,2,4.65706,25,7,1.645494
74,1.12,1,419.46,0.87,7.4,3430,2,7.35447,25,7,3.118296
