Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logKl
74,,0,367.802,1.32,6.1,19440,0.2,25,,-0.504455662
74,,1,367.802,1.32,6.1,19440,0.2,25,,-1.308918508
74,,0,367.802,1.32,6.1,19440,0.2,25,,-0.316952962
100,0.23,1,444.44,-1.37,7.7,1690,5,25,,-0.602059991
100,0.35,0,444.44,-1.37,7.7,1690,5,25,,-0.886056648
100,0.76,0,444.44,-1.37,7.7,1690,5,25,,-0.327902142
100,1.16,0,444.44,-1.37,7.7,1690,5,25,,-0.236572006
100,0.23,1,444.44,-1.37,7.7,1690,5,25,,-0.638272164
100,0.35,0,444.44,-1.37,7.7,1690,5,25,,-0.721246399
100,0.76,0,444.44,-1.37,7.7,1690,5,25,,-0.397940009
100,1.16,0,444.44,-1.37,7.7,1690,5,25,,-0.602059991
50,,0,331.341,0.28,6.1,19440,0.5,25,7,-2.045757491
100,,0,331.341,0.28,6.1,19440,0.5,25,7,-1.251811973
150,0.2341,0,331.341,0.28,6.1,19440,0.5,25,7,-3
325,,1,444.44,-1.37,7.7,1690,6.67,25,7,-0.226140448
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,0.192818257
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.441531437
325,,1,444.44,-1.37,7.7,1690,6.67,25,7,-0.054826954
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,0.089940418
325,,0,444.44,-1.37,7.7,1690,6.67,25,7,-0.696372024
200,0.294,1,319.33,0.46,8.8,400,2,20,7,-0.596879479
101.6,0.772,1,444.44,-1.37,7.7,1690,1,25,7,-1.619788758
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,-0.819587367
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,-0.84375381
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,-1.055517328
101.6,1.1177,0,444.44,-1.37,7.7,1690,1,25,7,-1.250263684
101.6,1.6028,1,444.44,-1.37,7.7,1690,1,25,7,-2.026872146
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,-0.982966661
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,-0.924818145
101.6,,0,444.44,-1.37,7.7,1690,1,25,7,-0.968995719
101.6,1.9418,0,444.44,-1.37,7.7,1690,1,25,7,-0.973875483
75,0.1478,1,253.28,0.89,5.7,610,2,25,7,-1.097453221
